lineage,precision,recall,f1_score,support
AD.2,0.998090909090909,0.9987272727272728,0.9982727272727273,1352
A,0.9257000000000002,0.9546999999999999,0.9397,814
A.1,0.9831,0.9971,0.9901,1044
A.11,1.0,1.0,1.0,8
A.12,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
A.15,1.0,1.0,1.0,14
A.16,1.0,1.0,1.0,14
A.19,1.0,1.0,1.0,32
A.2,0.9908999999999999,0.9881,0.9892,426
A.2.2,1.0,0.9856999999999999,0.9923,66
A.2.3,1.0,0.9467000000000001,0.9689,58
A.2.4,0.9833000000000001,1.0,0.9908999999999999,55
A.2.5,0.9898999999999999,0.9974000000000001,0.9936999999999999,779
A.2.5.1,1.0,0.9653,0.9814999999999999,86
A.2.5.2,0.9944,0.9940999999999999,0.9940999999999999,172
A.2.5.3,1.0,0.9099999999999999,0.9487,55
A.21,1.0,0.925,0.9524000000000001,43
A.22,1.0,1.0,1.0,10
A.23,1.0,1.0,1.0,14
A.23.1,1.0,1.0,1.0,168
A.24,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
A.25,0.9667,0.95,0.9466999999999999,20
A.26,1.0,1.0,1.0,5
A.27,1.0,0.95,0.9667,17
A.28,0.9,0.85,0.8667,18
A.29,0.9800000000000001,1.0,0.9888999999999999,45
A.3,1.0,0.9833999999999999,0.9914000000000002,122
A.4,1.0,1.0,1.0,18
A.5,0.9946999999999999,0.9893999999999998,0.9919,188
A.6,0.975,1.0,0.9856999999999999,34
A.7,1.0,0.95,0.9667,13
A.9,1.0,0.9,0.9334,13
AA.1,1.0,0.95,0.9667,18
AA.2,0.9,0.9,0.9,21
AA.3,1.0,1.0,1.0,8
AA.4,1.0,1.0,1.0,11
AA.5,1.0,1.0,1.0,16
AA.6,0.9667,0.9,0.9134,20
AA.7,1.0,0.9667,0.9800000000000001,32
AA.8,1.0,1.0,1.0,8
AB.1,0.9667,0.95,0.9467000000000001,18
AC.1,1.0,1.0,1.0,6
AD.1,1.0,0.9550000000000001,0.9746,44
AD.2.1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
AE.1,0.9667,0.975,0.9657,35
AE.2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
AE.3,1.0,1.0,1.0,11
AE.4,0.8,0.8,0.8,11
AE.5,0.85,0.9,0.8667,16
AE.6,1.0,1.0,1.0,15
AE.7,1.0,1.0,1.0,10
AE.8,1.0,1.0,1.0,209
AF.1,0.9,0.9,0.9,15
AG.1,1.0,1.0,1.0,8
AH.1,1.0,1.0,1.0,5
AH.2,1.0,1.0,1.0,11
AH.3,1.0,1.0,1.0,29
AJ.1,1.0,1.0,1.0,9
AK.1,1.0,1.0,1.0,25
AK.2,1.0,1.0,1.0,9
AL.1,1.0,1.0,1.0,10
AM.2,1.0,1.0,1.0,5
AM.4,1.0,1.0,1.0,26
AN.1,1.0,0.95,0.9667,14
AP.1,0.9938,0.9865999999999999,0.99,148
AQ.1,1.0,1.0,1.0,9
AQ.2,1.0,1.0,1.0,9
AS.1,1.0,1.0,1.0,28
AS.2,1.0,0.95,0.9667,16
AT.1,1.0,1.0,1.0,92
AU.1,1.0,1.0,1.0,59
AU.2,1.0,1.0,1.0,17
AU.3,1.0,1.0,1.0,27
AV.1,0.9166666666666666,1.0,0.9445,6
AW.1,1.0,1.0,1.0,33
AY.1,1.0,0.9639,0.9798,86
AY.10,1.0,0.9917,0.9957,116
AY.100,0.9888999999999999,0.9153,0.9451,83
AY.101,0.9963000000000001,0.9981,0.9972999999999999,539
AY.102,0.991,0.9931000000000001,0.9921,440
AY.103,0.9989000000000001,0.9996,0.999,9952
AY.104,1.0,1.0,1.0,145
AY.105,1.0,0.9923,0.9960000000000001,129
AY.106,0.9949,0.9871000000000001,0.9909000000000001,389
AY.107,0.9917,0.9952,0.9933,218
AY.108,1.0,0.9636000000000001,0.9808,110
AY.109,0.9958,0.9958,0.9958,235
AY.11,1.0,0.9933,0.9965999999999999,150
AY.110,0.984,0.9776,0.9803000000000001,490
AY.111,0.9987,0.9922000000000001,0.9953000000000001,768
AY.112,0.0,0.0,0.0,2
AY.113,0.9975999999999999,0.9984,0.998,1249
AY.114,0.9974000000000001,0.9947000000000001,0.9960000000000001,377
AY.115,0.8491,0.75,0.7497,61
AY.116,0.9442,0.9195,0.9280999999999999,559
AY.116.1,0.9924,0.9958,0.9939,246
AY.117,1.0,0.9960000000000001,0.998,494
AY.118,0.9975999999999999,0.9968,0.9972000000000001,1253
AY.119,0.9969999999999999,0.9963,0.9967,1606
AY.119.1,1.0,0.9523000000000001,0.9741000000000002,61
AY.120,0.9933,0.9968,0.9950000000000001,5413
AY.120.1,0.986,0.9738,0.9796000000000001,495
AY.120.2,0.9614999999999998,0.9433999999999999,0.9509000000000001,195
AY.120.2.1,1.0,0.9962,0.998,527
AY.121,0.9981,0.998,0.998,6158
AY.121.1,0.9964000000000001,0.9818999999999999,0.9891,279
AY.122,0.9936,0.9972999999999999,0.9953000000000001,36380
AY.122.1,1.0,0.9935,0.9968,934
AY.123,1.0,0.9937999999999999,0.9968,166
AY.124,0.9976,0.9996,0.9985999999999999,2542
AY.125,0.9998000000000001,0.9987999999999999,0.9993000000000001,5228
AY.126,0.9961,0.9918000000000001,0.9939,8297
AY.127,0.9997,0.9984,0.999,2894
AY.13,1.0,0.9967,0.9983000000000001,302
AY.14,1.0,1.0,1.0,42
AY.15,1.0,1.0,1.0,15
AY.16,0.9833000000000001,0.99,0.9856,101
AY.16.1,0.9917,0.9818,0.9856999999999999,110
AY.17,0.9417,0.9167,0.9123999999999999,23
AY.18,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
AY.19,1.0,0.9690000000000001,0.9832000000000001,63
AY.2,0.9875,1.0,0.9933,77
AY.20,0.9986,0.9993000000000001,0.999,1463
AY.20.1,1.0,0.975,0.9856999999999999,40
AY.21,1.0,1.0,1.0,80
AY.22,1.0,1.0,1.0,85
AY.23,0.9914999999999999,0.9937000000000001,0.9925,1272
AY.23.1,1.0,0.9944,0.9971,181
AY.23.2,0.978,0.9399000000000001,0.9549,152
AY.24,0.9954000000000001,1.0,0.9975999999999999,419
AY.25,0.9946000000000002,0.9984999999999999,0.9967,2056
AY.25.1,1.0,0.9400000000000001,0.9639,45
AY.26,1.0,0.9992000000000001,0.9996,2771
AY.27,1.0,0.9958,0.9978999999999999,237
AY.28,1.0,0.9856999999999999,0.9923,73
AY.29,1.0,0.99,0.9948,204
AY.29.1,0.9968,0.9968,0.9968,618
AY.3,1.0,0.9975999999999999,0.9987999999999999,423
AY.3.1,1.0,1.0,1.0,67
AY.30,1.0,1.0,1.0,304
AY.31,1.0,0.95,0.9667,19
AY.32,1.0,0.9914999999999999,0.9957,237
AY.33,0.9984,0.9971,0.9977,3047
AY.34,0.9904999999999999,0.9938999999999998,0.9921000000000001,813
AY.34.1,0.9825999999999999,0.9827999999999999,0.9825999999999999,1218
AY.34.1.1,0.9756,0.9651,0.9695,488
AY.34.2,1.0,1.0,1.0,301
AY.35,1.0,0.9922000000000001,0.9960000000000001,254
AY.36,1.0,0.9982,0.9991,558
AY.37,0.9898,0.9958,0.9925,471
AY.38,0.9949,0.9964999999999999,0.9954999999999998,569
AY.39,0.9858,0.9524999999999999,0.9687999999999999,1242
AY.39.1,0.9940999999999999,0.9947000000000001,0.9943,1826
AY.39.1.1,1.0,0.9846,0.9920000000000002,135
AY.39.2,1.0,0.9875,0.9933,77
AY.4,0.9882,0.998,0.993,7544
AY.4.1,1.0,0.9417,0.9657,33
AY.4.2,0.9911000000000001,0.9959000000000001,0.9936,2709
AY.4.2.1,0.9893000000000001,0.9913000000000001,0.9902,461
AY.4.2.2,0.9992000000000001,0.9968,0.998,1211
AY.4.2.3,0.9969999999999999,0.9685,0.9824000000000002,668
AY.4.3,0.9952,0.97,0.9818999999999999,200
AY.4.4,1.0,0.9963999999999998,0.9982,559
AY.4.5,0.9968,0.9982,0.9974999999999999,1561
AY.4.6,0.9995,0.9962,0.998,2157
AY.40,1.0,1.0,1.0,224
AY.41,0.9907,1.0,0.9951000000000001,679
AY.42,0.9983000000000001,0.9963999999999998,0.9972999999999999,6638
AY.43,0.9946999999999999,0.9972,0.9960000000000001,24600
AY.43.1,1.0,0.9621000000000001,0.9780999999999999,137
AY.43.2,1.0,0.9730000000000001,0.9854,259
AY.43.3,0.9963000000000001,0.9888,0.9923,264
AY.43.4,0.9285,0.7918,0.8437000000000001,177
AY.43.5,1.0,1.0,1.0,19
AY.44,0.9984999999999997,0.9968,0.9977,11587
AY.45,0.9984,0.9952,0.9968000000000001,2561
AY.46,0.9767000000000001,0.9763,0.9763000000000002,1439
AY.46.1,1.0,0.93,0.9603000000000002,46
AY.46.2,0.9960000000000001,0.9495000000000001,0.9715,239
AY.46.3,1.0,1.0,1.0,320
AY.46.4,0.9909000000000001,0.9881,0.9894000000000002,425
AY.46.5,0.8167,0.8,0.7801,17
AY.46.6,0.9905000000000002,0.9952,0.9927999999999999,2511
AY.47,0.9987999999999999,0.9960999999999999,0.9973000000000001,1802
AY.48,0.9937999999999999,0.9733,0.9829000000000001,150
AY.49,1.0,0.975,0.9856999999999999,41
AY.5,0.9793000000000001,0.9923,0.9855,655
AY.5.1,1.0,0.95,0.9667,49
AY.5.2,1.0,0.9667000000000001,0.9823000000000001,87
AY.5.3,1.0,0.982,0.9908000000000001,221
AY.5.4,0.9960000000000001,0.9841000000000001,0.99,509
AY.50,1.0,1.0,1.0,260
AY.51,0.9969000000000001,0.9936999999999999,0.9952,313
AY.52,0.9800000000000001,0.9678000000000001,0.9730000000000001,94
AY.53,0.9992000000000001,0.9992000000000001,0.9992000000000001,1231
AY.54,0.9978,0.9978,0.9978999999999999,917
AY.55,0.9705999999999999,0.9666,0.9658999999999999,154
AY.56,1.0,0.95,0.9667,40
AY.57,1.0,0.9875999999999999,0.9936,157
AY.58,1.0,0.991,0.9954000000000001,224
AY.59,1.0,1.0,1.0,628
AY.6,0.9962,1.0,0.998,259
AY.60,1.0,1.0,1.0,256
AY.61,0.9785,0.9952,0.9865999999999999,633
AY.62,0.9899000000000001,0.9948,0.9923,387
AY.63,1.0,0.9983000000000001,0.9991,583
AY.64,0.984,0.9735000000000001,0.9778,113
AY.65,0.9977,0.9977,0.9975999999999999,429
AY.66,1.0,0.9969000000000001,0.9984,320
AY.67,0.9964000000000001,1.0,0.9982,270
AY.68,1.0,0.9938,0.9968,956
AY.69,1.0,1.0,1.0,1904
AY.7,0.9937999999999999,0.9658999999999999,0.9793,175
AY.7.1,0.9966999999999999,1.0,0.9982,897
AY.7.2,0.9833000000000001,0.9937999999999999,0.9882,157
AY.70,1.0,0.9979000000000001,0.9988000000000001,1373
AY.71,0.9974000000000001,0.9974000000000001,0.9974000000000001,380
AY.72,0.9911999999999999,0.9907,0.9907999999999998,218
AY.73,1.0,0.9966000000000002,0.9982,285
AY.74,0.9974000000000001,0.9945999999999999,0.9959,367
AY.75,0.9962000000000002,0.9970000000000001,0.9966999999999999,2323
AY.75.2,1.0,0.9952,0.9975999999999999,212
AY.75.3,1.0,0.9862,0.9929,144
AY.76,1.0,0.9833000000000001,0.9908999999999999,65
AY.77,1.0,0.9818,0.9904,111
AY.78,1.0,0.9724,0.9858,147
AY.79,1.0,0.9916,0.9958,240
AY.8,1.0,1.0,1.0,146
AY.80,1.0,0.9888999999999999,0.9940999999999999,93
AY.81,1.0,0.9923,0.9960000000000001,126
AY.82,1.0,1.0,1.0,156
AY.83,0.9833000000000001,1.0,0.9909000000000001,54
AY.84,0.9916,0.9870000000000001,0.9891,233
AY.85,1.0,1.0,1.0,315
AY.86,1.0,1.0,1.0,134
AY.87,1.0,1.0,1.0,243
AY.88,0.9923,0.9916,0.9917999999999999,241
AY.89,0.9962,0.9754999999999999,0.9853999999999999,248
AY.9,0.9902,0.9904,0.9902000000000001,726
AY.9.2,0.9989000000000001,0.9991,0.9986,8157
AY.90,1.0,0.9887,0.9944,353
AY.91,0.9914,0.9969999999999999,0.9940999999999999,330
AY.91.1,1.0,0.975,0.9856999999999999,79
AY.92,1.0,0.9962,0.9982,540
AY.93,0.9975999999999999,0.9975999999999999,0.9975999999999999,415
AY.94,0.9986,1.0,0.9993000000000001,703
AY.95,0.9952,0.9951999999999999,0.9951999999999999,411
AY.96,0.8886,0.7499999999999999,0.7942,101
AY.97,0.9810000000000001,0.9713999999999998,0.9746,177
AY.98,0.9736,0.9511,0.9616999999999999,611
AY.98.1,0.9941000000000001,0.9952,0.9945999999999998,4602
AY.99,0.9839,0.9823000000000001,0.9823000000000001,169
AY.99.1,0.9944,0.9823000000000001,0.9879,174
AY.99.2,0.9994,1.0,0.9996,3087
AZ.1,1.0,0.95,0.9667,11
AZ.2,0.9923,0.992,0.9921000000000001,509
AZ.2.1,1.0,0.9167,0.9467000000000001,32
AZ.3,1.0,0.9625,0.9799,85
AZ.4,1.0,0.9667,0.9800000000000001,65
AZ.5,0.975,1.0,0.9856999999999999,35
AZ.6,0.96,0.975,0.9606999999999999,31
B,0.9383000000000001,0.9190000000000002,0.9279000000000002,1577
B.1,0.9405999999999999,0.9430999999999999,0.9418999999999998,19106
B.1.1,0.9553999999999998,0.9404,0.9478,10025
B.1.1.1,0.9664999999999999,0.9742,0.9702000000000002,857
B.1.1.10,0.9267,0.9829000000000001,0.953,232
B.1.1.100,1.0,1.0,1.0,4
B.1.1.101,0.8949999999999999,0.95,0.9099,38
B.1.1.109,1.0,1.0,1.0,11
B.1.1.111,0.9667,1.0,0.9800000000000001,22
B.1.1.112,0.5,0.5,0.5,5
B.1.1.113,1.0,0.9667,0.9800000000000001,26
B.1.1.114,1.0,1.0,1.0,7
B.1.1.115,1.0,0.9667,0.9800000000000001,31
B.1.1.116,0.7666999999999999,0.9,0.7952999999999999,11
B.1.1.117,0.8230000000000001,0.975,0.8846,43
B.1.1.118,1.0,0.8667,0.9134,22
B.1.1.12,0.8884000000000001,0.9417,0.9003000000000002,36
B.1.1.120,1.0,1.0,1.0,10
B.1.1.121,0.95,0.9417,0.9370999999999998,31
B.1.1.122,0.666625,0.75,0.6875,7
B.1.1.123,1.0,0.9334,0.96,22
B.1.1.125,0.9667,1.0,0.9800000000000001,23
B.1.1.127,0.8333333333333334,0.8888888888888888,0.8518888888888889,9
B.1.1.128,0.9833000000000001,1.0,0.9909000000000001,48
B.1.1.129,0.9084,1.0,0.9457000000000001,25
B.1.1.13,1.0,1.0,1.0,8
B.1.1.130,1.0,1.0,1.0,18
B.1.1.132,0.85,0.9,0.8667,18
B.1.1.133,1.0,0.9800000000000001,0.9888999999999999,53
B.1.1.134,0.9417,0.9667,0.9523999999999999,26
B.1.1.135,0.9357,1.0,0.9646000000000001,65
B.1.1.136,1.0,1.0,1.0,12
B.1.1.137,0.9000999999999999,0.95,0.9067000000000001,16
B.1.1.138,1.0,1.0,1.0,70
B.1.1.139,0.9667,0.95,0.9466999999999999,20
B.1.1.14,0.9667,1.0,0.9800000000000001,16
B.1.1.141,0.9833000000000001,1.0,0.9908999999999999,43
B.1.1.142,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
B.1.1.144,0.9,0.9,0.9,13
B.1.1.145,0.875,0.875,0.875,8
B.1.1.147,1.0,1.0,1.0,6
B.1.1.148,0.8516999999999999,0.7333999999999999,0.7624,32
B.1.1.15,1.0,0.95,0.9667,23
B.1.1.152,1.0,1.0,1.0,10
B.1.1.153,0.9904999999999999,0.9789,0.984,190
B.1.1.154,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.1.155,1.0,1.0,1.0,8
B.1.1.157,1.0,1.0,1.0,73
B.1.1.158,0.975,0.9334,0.9457000000000001,29
B.1.1.159,1.0,0.9800000000000001,0.9888999999999999,43
B.1.1.161,0.675,1.0,0.7838,25
B.1.1.162,0.5714285714285714,0.5714285714285714,0.5714285714285714,7
B.1.1.163,1.0,0.95,0.9714,41
B.1.1.164,0.8550000000000001,1.0,0.9174000000000001,31
B.1.1.165,1.0,1.0,1.0,29
B.1.1.166,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
B.1.1.168,1.0,1.0,1.0,17
B.1.1.169,0.9667,0.95,0.9466999999999999,16
B.1.1.17,1.0,1.0,1.0,3
B.1.1.170,1.0,0.9888999999999999,0.9940999999999999,183
B.1.1.171,0.9635,0.9381,0.9431,65
B.1.1.172,0.95,1.0,0.9667,16
B.1.1.174,0.8737,0.9571,0.9105000000000001,72
B.1.1.175,1.0,1.0,1.0,6
B.1.1.176,1.0,1.0,1.0,68
B.1.1.177,1.0,1.0,1.0,16
B.1.1.178,1.0,1.0,1.0,10
B.1.1.180,0.95,1.0,0.9713999999999998,31
B.1.1.181,1.0,1.0,1.0,27
B.1.1.184,0.6833,0.85,0.7054,11
B.1.1.185,1.0,1.0,1.0,5
B.1.1.186,1.0,0.9400000000000001,0.9667,50
B.1.1.187,0.975,1.0,0.9856999999999999,29
B.1.1.189,0.9888,0.9823000000000001,0.9850000000000001,173
B.1.1.190,1.0,1.0,1.0,7
B.1.1.191,1.0,1.0,1.0,28
B.1.1.192,0.9277,0.99,0.9555999999999999,94
B.1.1.194,0.9370999999999998,0.9667,0.9416,34
B.1.1.196,1.0,1.0,1.0,58
B.1.1.197,1.0,1.0,1.0,5
B.1.1.198,0.9783000000000002,0.9941000000000001,0.9856,169
B.1.1.200,0.925,0.9667,0.9370999999999998,26
B.1.1.201,1.0,1.0,1.0,9
B.1.1.202,1.0,1.0,1.0,2
B.1.1.203,0.6167,0.75,0.6634,14
B.1.1.204,0.9667,0.975,0.9657,38
B.1.1.205,1.0,0.9334,0.96,35
B.1.1.207,1.0,0.9923,0.9960000000000001,130
B.1.1.208,0.8667,0.95,0.8766999999999999,14
B.1.1.209,0.9600000000000002,1.0,0.9777999999999999,35
B.1.1.210,0.9404,0.82,0.8408999999999999,50
B.1.1.213,0.9,0.9,0.9,17
B.1.1.214,1.0,1.0,1.0,70
B.1.1.216,1.0,0.9709,0.9841000000000001,102
B.1.1.217,1.0,0.9789,0.9887999999999998,93
B.1.1.218,1.0,1.0,1.0,39
B.1.1.219,1.0,1.0,1.0,76
B.1.1.220,0.9466999999999999,0.9875,0.9638,78
B.1.1.221,1.0,0.975,0.9856999999999999,38
B.1.1.222,0.9846999999999999,0.9882,0.9862,512
B.1.1.224,1.0,1.0,1.0,10
B.1.1.225,1.0,1.0,1.0,50
B.1.1.226,1.0,0.9099999999999999,0.9492,46
B.1.1.227,1.0,0.9800000000000001,0.9888999999999999,52
B.1.1.228,0.9789,0.9778,0.9776999999999999,91
B.1.1.229,1.0,1.0,1.0,48
B.1.1.230,0.9600000000000002,1.0,0.9777999999999999,38
B.1.1.231,0.9369000000000002,0.9778,0.9530999999999998,93
B.1.1.232,1.0,0.99,0.9946999999999999,102
B.1.1.234,1.0,1.0,1.0,25
B.1.1.236,1.0,1.0,1.0,37
B.1.1.237,0.96,1.0,0.975,30
B.1.1.239,0.9,0.9,0.9,14
B.1.1.240,1.0,1.0,1.0,54
B.1.1.241,1.0,0.9909000000000001,0.9952,109
B.1.1.242,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
B.1.1.243,1.0,0.9600000000000002,0.9777999999999999,51
B.1.1.244,1.0,0.95,0.9667,14
B.1.1.25,0.9634,0.9866999999999999,0.9743,529
B.1.1.251,0.8833,0.9,0.8667,19
B.1.1.253,0.9929,0.9852000000000001,0.9885999999999999,137
B.1.1.254,0.95,0.975,0.9571,35
B.1.1.255,0.9917,0.9908999999999999,0.9908999999999999,109
B.1.1.256,1.0,1.0,1.0,22
B.1.1.257,0.85,0.9,0.8667,16
B.1.1.258,0.9800000000000001,1.0,0.9894000000000001,93
B.1.1.26,0.9778,0.9714,0.9708,68
B.1.1.261,1.0,1.0,1.0,59
B.1.1.262,1.0,1.0,1.0,19
B.1.1.263,0.9577,0.9800000000000001,0.9676,149
B.1.1.265,1.0,0.9875,0.9933,81
B.1.1.266,1.0,1.0,1.0,49
B.1.1.267,1.0,1.0,1.0,18
B.1.1.268,0.9334,0.9334,0.9267,28
B.1.1.269,0.9678000000000001,0.9879,0.9770999999999999,166
B.1.1.27,0.9875,1.0,0.9933,72
B.1.1.270,1.0,1.0,1.0,31
B.1.1.272,1.0,1.0,1.0,29
B.1.1.273,0.9642,0.9700000000000001,0.9654999999999999,103
B.1.1.274,0.9,0.775,0.8285,42
B.1.1.275,1.0,1.0,1.0,12
B.1.1.277,0.9553,0.9777999999999999,0.9659000000000001,361
B.1.1.279,1.0,0.9913000000000001,0.9955,234
B.1.1.28,0.9557999999999998,0.9829000000000001,0.9686999999999999,578
B.1.1.280,1.0,1.0,1.0,77
B.1.1.282,0.8667,0.9,0.8800000000000001,15
B.1.1.284,1.0,1.0,1.0,79
B.1.1.285,0.9084,0.95,0.9124000000000001,23
B.1.1.286,1.0,0.9833000000000001,0.9908999999999999,119
B.1.1.288,1.0,0.9800000000000001,0.9894000000000001,107
B.1.1.289,1.0,0.9908999999999999,0.9952,108
B.1.1.29,1.0,1.0,1.0,32
B.1.1.290,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
B.1.1.291,0.9792,0.9878,0.9831,407
B.1.1.294,0.9955,0.9810000000000001,0.9876999999999999,207
B.1.1.296,1.0,0.95,0.9667,15
B.1.1.297,1.0,0.99,0.9946999999999999,96
B.1.1.298,0.9971,0.9858,0.9914,357
B.1.1.299,1.0,1.0,1.0,20
B.1.1.3,1.0,1.0,1.0,34
B.1.1.30,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
B.1.1.300,1.0,1.0,1.0,16
B.1.1.301,1.0,1.0,1.0,279
B.1.1.302,1.0,1.0,1.0,95
B.1.1.303,1.0,0.9862,0.9929,147
B.1.1.304,1.0,0.9709,0.9841000000000001,105
B.1.1.305,0.9800000000000001,0.9667,0.9710000000000001,89
B.1.1.306,0.9685,0.9667,0.9672000000000001,847
B.1.1.307,0.9959,0.9945,0.9950999999999999,730
B.1.1.308,0.975,0.95,0.9606999999999999,40
B.1.1.309,0.9714,0.9800000000000001,0.9722000000000002,56
B.1.1.31,0.0091,0.1,0.0167,15
B.1.1.310,1.0,1.0,1.0,17
B.1.1.311,0.9945,0.9967,0.9955999999999999,906
B.1.1.312,0.9962,1.0,0.998,246
B.1.1.315,0.9147000000000001,0.8867,0.8892,51
B.1.1.316,0.9858,0.9923,0.9885999999999999,132
B.1.1.317,0.9347,0.9864,0.9592999999999998,226
B.1.1.318,0.9867000000000001,0.9939,0.9902999999999998,813
B.1.1.319,0.5,0.45,0.4667,11
B.1.1.320,1.0,0.95,0.9667,21
B.1.1.322,0.9,0.9,0.9,18
B.1.1.323,1.0,1.0,1.0,21
B.1.1.324,0.9258888888888889,1.0,0.9444444444444444,9
B.1.1.325,1.0,0.95,0.9667,16
B.1.1.326,0.9930000000000001,0.9859,0.9891,281
B.1.1.327,1.0,1.0,1.0,5
B.1.1.328,0.9,0.9,0.9,10
B.1.1.329,0.9833000000000001,0.9800000000000001,0.9798,47
B.1.1.33,0.9888999999999999,0.9703999999999999,0.9794,543
B.1.1.330,1.0,1.0,1.0,7
B.1.1.331,0.95,1.0,0.9667,10
B.1.1.332,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
B.1.1.333,1.0,0.9800000000000001,0.9888999999999999,49
B.1.1.334,0.0,0.0,0.0,6
B.1.1.335,0.0,0.0,0.0,15
B.1.1.336,1.0,1.0,1.0,12
B.1.1.337,0.9856999999999999,1.0,0.9923,59
B.1.1.338,1.0,1.0,1.0,11
B.1.1.339,0.9667,0.9417,0.9456999999999999,36
B.1.1.34,1.0,0.9167,0.9513999999999999,37
B.1.1.340,0.8286,0.75,0.7279,19
B.1.1.342,0.85,0.9,0.8667,11
B.1.1.343,1.0,1.0,1.0,8
B.1.1.344,1.0,1.0,1.0,28
B.1.1.345,0.875,0.875,0.875,8
B.1.1.347,1.0,1.0,1.0,11
B.1.1.348,1.0,0.8667,0.9228,39
B.1.1.349,0.975,1.0,0.9856999999999999,21
B.1.1.350,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.1.351,1.0,0.975,0.9856999999999999,40
B.1.1.352,1.0,1.0,1.0,8
B.1.1.353,0.6,0.6,0.6,10
B.1.1.354,1.0,0.9833000000000001,0.9908999999999999,57
B.1.1.355,0.9121,1.0,0.9472999999999999,34
B.1.1.356,0.9,0.9,0.8881,27
B.1.1.357,1.0,1.0,1.0,7
B.1.1.358,1.0,1.0,1.0,7
B.1.1.362,1.0,1.0,1.0,27
B.1.1.363,1.0,1.0,1.0,40
B.1.1.364,0.9,0.9,0.9,11
B.1.1.365,1.0,0.9667,0.9800000000000001,35
B.1.1.366,0.9800000000000001,0.9667,0.9689,38
B.1.1.368,1.0,0.95,0.9667,38
B.1.1.369,0.9953,0.9902999999999998,0.9926999999999999,617
B.1.1.37,0.9951000000000001,0.993,0.9942,1434
B.1.1.370,0.8167,0.8,0.7967,18
B.1.1.371,1.0,0.95,0.9667,21
B.1.1.372,0.9542999999999999,0.9882,0.9708,335
B.1.1.373,1.0,0.95,0.9667,12
B.1.1.374,1.0,1.0,1.0,14
B.1.1.375,0.95,0.905,0.9221999999999999,41
B.1.1.376,0.9261000000000001,0.9400000000000001,0.9159,55
B.1.1.377,1.0,0.9888999999999999,0.9940999999999999,90
B.1.1.378,0.8167,0.85,0.8134,14
B.1.1.379,0.75,0.8,0.7666999999999999,12
B.1.1.38,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
B.1.1.380,1.0,0.9,0.9334,18
B.1.1.381,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
B.1.1.382,0.9,0.85,0.8667,12
B.1.1.383,0.85,0.9,0.8667,12
B.1.1.384,1.0,1.0,1.0,11
B.1.1.385,0.9,0.9,0.9,13
B.1.1.386,0.9,0.9,0.9,12
B.1.1.387,0.8,0.8,0.8,10
B.1.1.388,0.7,0.8,0.7333999999999999,5
B.1.1.389,1.0,0.9856999999999999,0.9923,70
B.1.1.39,0.9679,0.95,0.9576,482
B.1.1.391,0.9099999999999999,1.0,0.9490000000000001,66
B.1.1.392,0.6666666666666666,0.6666666666666666,0.6666666666666666,9
B.1.1.394,1.0,1.0,1.0,11
B.1.1.395,0.95,1.0,0.9667,11
B.1.1.397,1.0,0.9464,0.9699,74
B.1.1.398,0.8755000000000001,0.9833000000000001,0.9198999999999999,56
B.1.1.399,1.0,1.0,1.0,8
B.1.1.4,1.0,1.0,1.0,74
B.1.1.40,0.9667,0.95,0.9467000000000001,17
B.1.1.402,0.9167,0.95,0.93,20
B.1.1.403,1.0,1.0,1.0,9
B.1.1.404,0.8,0.8,0.8,11
B.1.1.405,0.75,0.75,0.75,4
B.1.1.406,0.9856999999999999,0.9833000000000001,0.9832000000000001,58
B.1.1.407,1.0,1.0,1.0,12
B.1.1.408,0.75,0.75,0.75,4
B.1.1.409,0.4798,0.9167,0.5785,23
B.1.1.41,1.0,1.0,1.0,73
B.1.1.410,0.9444444444444444,1.0,0.963,9
B.1.1.411,0.8834,0.95,0.8934000000000001,15
B.1.1.412,0.9653,0.9856999999999999,0.9731,71
B.1.1.413,1.0,1.0,1.0,24
B.1.1.415,1.0,1.0,1.0,5
B.1.1.416,0.9882,0.9882,0.9882,165
B.1.1.417,1.0,0.95,0.9667,41
B.1.1.418,1.0,1.0,1.0,13
B.1.1.419,0.725,0.95,0.7901,17
B.1.1.420,1.0,0.9667,0.9800000000000001,26
B.1.1.421,1.0,0.9,0.9334,22
B.1.1.422,1.0,1.0,1.0,7
B.1.1.423,0.75,0.8,0.7666999999999999,10
B.1.1.424,0.8,0.8,0.8,10
B.1.1.425,0.9,0.9,0.9,10
B.1.1.426,0.9,0.9,0.9,10
B.1.1.427,1.0,1.0,1.0,6
